asset_id,category,title_zh,file_path,exists,width,height,status
L1_Warmup_ErshuiStation_A_clean,warmup,二水站暖身圖A｜無標記,01_二水站暖身圖\L1_Warmup_ErshuiStation_A_clean.png,yes,1920,1080,ready_for_user_review
L1_Warmup_ErshuiStation_B_clues,warmup,二水站暖身圖B｜三提示圈,01_二水站暖身圖\L1_Warmup_ErshuiStation_B_clues.png,yes,1920,1080,ready_for_user_review
L1_Warmup_ErshuiStation_C_answer,warmup,二水站暖身圖C｜答案標籤,01_二水站暖身圖\L1_Warmup_ErshuiStation_C_answer.png,yes,1920,1080,ready_for_user_review
L1_ING01_train_reference,ingredient,一致性參考板1｜列車三視圖,02_一致性參考板\L1_ING01_train_reference.png,yes,1920,1080,ready_for_user_review
L1_ING02_station_reference,ingredient,一致性參考板2｜車站,02_一致性參考板\L1_ING02_station_reference.png,yes,1920,1080,ready_for_user_review
L1_ING03_route_style_reference,ingredient,一致性參考板3｜路線與色彩,02_一致性參考板\L1_ING03_route_style_reference.png,yes,1920,1080,ready_for_user_review
L1_SB01_still,storyboard,分鏡01,03_12張分鏡圖\L1_SB01_still.png,yes,1920,1080,ready_for_user_review
L1_SB02_still,storyboard,分鏡02,03_12張分鏡圖\L1_SB02_still.png,yes,1920,1080,ready_for_user_review
L1_SB03_still,storyboard,分鏡03,03_12張分鏡圖\L1_SB03_still.png,yes,1920,1080,ready_for_user_review
L1_SB04_still,storyboard,分鏡04,03_12張分鏡圖\L1_SB04_still.png,yes,1920,1080,ready_for_user_review
L1_SB05_still,storyboard,分鏡05,03_12張分鏡圖\L1_SB05_still.png,yes,1920,1080,ready_for_user_review
L1_SB06_still,storyboard,分鏡06,03_12張分鏡圖\L1_SB06_still.png,yes,1920,1080,ready_for_user_review
L1_SB07_still,storyboard,分鏡07,03_12張分鏡圖\L1_SB07_still.png,yes,1920,1080,ready_for_user_review
L1_SB08_still,storyboard,分鏡08,03_12張分鏡圖\L1_SB08_still.png,yes,1920,1080,ready_for_user_review
L1_SB09_still,storyboard,分鏡09,03_12張分鏡圖\L1_SB09_still.png,yes,1920,1080,ready_for_user_review
L1_SB10_still,storyboard,分鏡10,03_12張分鏡圖\L1_SB10_still.png,yes,1920,1080,ready_for_user_review
L1_SB11_still,storyboard,分鏡11,03_12張分鏡圖\L1_SB11_still.png,yes,1920,1080,ready_for_user_review
L1_SB12_still,storyboard,分鏡12,03_12張分鏡圖\L1_SB12_still.png,yes,1920,1080,ready_for_user_review
